,PHQ4_1,gender
0,,Female
1,,Male
2,,Female
3,,Male
4,,Female
5,,Male
6,,Female
7,,Male
8,,Male
9,,Female
10,,Female
11,,Female
12,,Male
13,,Female
14,,Female
15,,Female
16,,Male
17,,Male
18,,Female
19,,Male
20,,Female
21,,Male
22,,Female
23,,Female
24,,Male
25,,Male
26,,Female
27,,Male
28,,Female
29,,Female
30,,Male
31,,Male
32,,Male
33,,Female
34,,Male
35,,Male
36,,Female
37,,Female
38,,Female
39,,Female
40,,Female
41,,Female
42,,Male
43,,Female
44,,Female
45,,Female
46,,Male
47,,Female
48,,Female
49,,Male
50,,Male
51,,Female
52,,Male
53,,Male
54,,Female
55,,Male
56,,Female
57,,Female
58,,Female
59,,Male
60,,Male
61,,Female
62,,Female
63,,Male
64,,Female
65,,Male
66,,Male
67,,Male
68,,Female
69,,Male
70,,Female
71,,Male
72,,Female
73,,Male
74,,Female
75,,Male
76,,Female
77,,Female
78,,Male
79,,Female
80,,Male
81,,Female
82,,Female
83,,Male
84,,Female
85,,Female
86,,Female
87,,Female
88,,Female
89,,Male
90,,Female
91,,Female
92,,Male
93,,Male
94,,Male
95,,Female
96,,Female
97,,Female
98,,Female
99,,Female
100,,Male
101,,Male
102,,Male
103,,Male
104,,Female
105,,Male
106,,Female
107,,Male
108,,Female
109,,Female
110,,Male
111,,Female
112,,Male
113,,Female
114,,Female
115,,Female
116,,Female
117,,Male
118,,Male
119,,Male
120,,Female
121,,Female
122,,Female
123,,Male
124,,Female
125,,Male
126,,Female
127,,Male
128,,Male
129,,Female
130,,Male
131,,Female
132,,Female
133,,Female
134,,Female
135,,Male
136,,Female
137,,Female
138,,Male
139,,Male
140,,Female
141,,Female
142,,Male
143,,Female
144,,Male
145,,Female
146,,Female
147,,Male
148,,Male
149,,Male
150,,Female
151,,Female
152,,Male
153,,Male
154,,Male
155,,Female
156,,Female
157,,Female
158,,Female
159,,Male
160,,Female
161,,Male
162,,Female
163,,Female
164,,Female
165,,Female
166,,Female
167,,Female
168,,Female
169,,Female
170,,Male
171,,Female
172,,Male
173,,Male
174,,Female
175,,Female
176,,Male
177,,Female
178,,Female
179,,Male
180,,Female
181,,Female
182,,Female
183,,Female
184,,Male
185,,Female
186,,Female
187,,Female
188,,Female
189,,Male
190,,Male
191,,Female
192,,Male
193,,Male
194,,Female
195,,Female
196,,Female
197,,Female
198,,Male
199,,Male
200,,Female
201,,Male
202,,Female
203,,Female
204,,Female
205,,Male
206,,Female
207,,Male
208,,Male
209,,Male
210,,Female
211,,Male
212,,Female
213,,Female
214,,Male
215,,Female
216,,Female
217,,Female
218,,Male
219,,Female
220,,Female
221,,Male
222,,Female
223,,Female
224,,Male
225,,Male
226,,Female
227,,Male
228,,Female
229,,Female
230,,Female
231,,Male
232,,Male
233,,Female
234,,Female
235,,Male
236,,Female
237,,Female
238,,Female
239,,Female
240,,Male
241,,Male
242,,Female
243,,Male
244,,Male
245,,Female
246,,Male
247,,Male
248,,Female
249,,Female
250,,Female
251,,Female
252,,Male
253,,Male
254,,Male
255,,Male
256,,Male
257,,Male
258,,Female
259,,Female
260,,Female
261,,Female
262,,Male
263,,Male
264,,Female
265,,Male
266,,Male
267,,Male
268,,Male
269,,Female
270,,Female
271,,Male
272,,Female
273,,Female
274,,Male
275,,Male
276,,Male
277,,Male
278,,Male
279,,Female
280,,Male
281,,Female
282,,Male
283,,Female
284,,Male
285,,Male
286,,Female
287,,Female
288,,Female
289,,Male
290,,Female
291,,Male
292,,Male
293,,Female
294,,Male
295,,Female
296,,Female
297,,Male
298,,Male
299,,Female
300,,Female
301,,Female
302,,Female
303,,Female
304,,Female
305,,Female
306,,Female
307,,Female
308,,Female
309,,Female
310,,Female
311,,Male
312,,Female
313,,Female
314,,Female
315,,Female
316,,Female
317,,Male
318,,Female
319,,Female
320,,Female
321,,Male
322,,Female
323,,Female
324,,Male
325,,Male
326,,Female
327,,Female
328,,Female
329,,Female
330,,Female
331,,Male
332,,Female
333,,Female
334,,Female
335,,Female
336,,Male
337,,Female
338,,Female
339,,Male
340,,Female
341,,Male
342,,Female
343,,Female
344,,Male
345,,Male
346,,Female
347,,Female
348,,Female
349,,Female
350,,Male
351,,Male
352,,Male
353,,Female
354,,Female
355,,Male
356,,Female
357,,Male
358,,Male
359,,Male
360,,Female
361,,Female
362,,Male
363,,Female
364,,Female
365,,Female
366,,Female
367,,Male
368,,Male
369,,Male
370,,Male
371,,Male
372,,Female
373,,Male
374,,Female
375,,Female
376,,Female
377,,Female
378,,Male
379,,Female
380,,Female
381,,Female
382,,Female
383,,Female
384,,Female
385,,Female
386,,Female
387,,Female
388,,Female
389,,Female
390,,Male
391,,Female
392,,Female
393,,Female
394,,Female
395,,Male
396,,Female
397,,Female
398,,Female
399,,Male
400,,Female
401,,Female
402,,Male
403,,Male
404,,Female
405,,Male
406,,Male
407,,Female
408,,Female
409,,Male
410,,Female
411,,Female
